chart,Gini
Australia Songs,0.24666666666666678
Austria Songs,0.21894736842105272
Belgium Songs,0.21473684210526328
Billboard Arabic Hot 100,0.16599999999999998
Billboard Argentina Hot 100,0.19000000000000022
Billboard Brasil Hot 100,1.8735013540549517e-16
Billboard Canadian Hot 100,0.27971014492753626
Billboard Colombia Hot 100,0.311111111111111
Billboard Italy Hot 100,0.21473684210526328
Billboard Japan Hot 100,0.25411764705882334
Billboard Korea Hot 100,0.5650000000000001
Billboard Philippines Hot 100,0.12952380952380943
Billboard Thailand Top Thai Songs,0.22315789473684217
Billboard Vietnam Hot 100,0.038333333333333476
Bolivia Songs,0.29647058823529415
Chile Songs,0.2644444444444446
China TME UNI Chart,0.30666666666666675
Croatia Songs,0.3876923076923076
Czech Republic Songs,0.110909090909091
Denmark Songs,0.110909090909091
Ecuador Songs,0.3275
Finland Songs,0.14857142857142863
France Songs,0.11454545454545488
Germany Songs,0.11454545454545488
Greece Songs,0.15238095238095267
Hong Kong Songs,0.41
Hungary Songs,0.07652173913043495
Iceland Songs,0.4727272727272728
India Songs,0.0730434782608699
Indonesia Songs,0.16599999999999998
Ireland Songs,0.21999999999999983
Luxembourg Songs,0.19000000000000022
Malaysia Songs,0.038333333333333476
Mexico Songs,0.32533333333333336
Netherlands Songs,0.20210526315789473
New Zealand Songs,0.29176470588235304
Norway Songs,0.12952380952380943
Peru Songs,0.3224999999999999
Poland Songs,0.110909090909091
Portugal Songs,0.22315789473684217
Romania Songs,0.1860000000000001
Singapore Songs,0.10363636363636368
Slovakia Songs,0.1780000000000001
South Africa Songs,0.0730434782608699
Spain Songs,0.2600000000000001
Sweden Songs,0.0730434782608699
Switzerland Songs,0.2600000000000001
Taiwan Songs,0.110909090909091
Turkey Songs,0.23333333333333336
U.K. Songs,0.23333333333333336
U.S. Hot 100 Songs,0.3443333333333333
Worldwide Top 200 Songs,0.2976335877862595
