chart_name,HHI,CR3,Gini
Spotify Weekly Chart El Salvador ,0.04775,0.31,0.5102597402597401
Spotify Weekly Chart Israel ,0.044,0.27,0.4975609756097561
Spotify Weekly Chart Venezuela ,0.043850000000000014,0.31,0.5115277777777777
Spotify Weekly Chart Honduras ,0.040100000000000004,0.275,0.4935802469135802
Spotify Weekly Chart Dominican Republic ,0.03894999999999999,0.275,0.5058974358974357
Spotify Weekly Chart Mexico ,0.036000000000000004,0.25,0.47902439024390253
Spotify Weekly Chart Costa Rica ,0.03565,0.255,0.4482608695652173
Spotify Weekly Chart Japan ,0.035199999999999995,0.23500000000000001,0.4967567567567567
Spotify Weekly Chart Nicaragua ,0.03519999999999999,0.26,0.46229885057471265
Spotify Weekly Chart Peru ,0.03365,0.22999999999999998,0.4166666666666668
Spotify Weekly Chart Hungary ,0.03364999999999999,0.24,0.4611627906976745
Spotify Weekly Chart Ecuador ,0.03265000000000001,0.235,0.44560439560439563
Spotify Weekly Chart Panama ,0.032249999999999994,0.23500000000000001,0.45482758620689656
Spotify Weekly Chart Andorra ,0.032104637336504156,0.1896551724137931,0.23380992430613953
Spotify Weekly Chart Paraguay ,0.031599999999999996,0.23,0.42684210526315786
Spotify Weekly Chart Colombia ,0.03145,0.24,0.46741176470588247
Spotify Weekly Chart Greece ,0.030400000000000003,0.195,0.4799999999999999
Spotify Weekly Chart Guatemala ,0.029250000000000005,0.21500000000000002,0.45595238095238094
Spotify Weekly Chart Morocco ,0.02875000000000001,0.23,0.4000000000000001
Spotify Weekly Chart Spain ,0.028750000000000005,0.225,0.4141
Spotify Weekly Chart Argentina ,0.028100000000000007,0.20500000000000002,0.401
Spotify Weekly Chart Egypt ,0.026650000000000004,0.16,0.44828571428571434
Spotify Weekly Chart Nigeria ,0.025800000000000003,0.185,0.4450000000000001
Spotify Weekly Chart Italy ,0.02540000000000001,0.20500000000000002,0.4003669724770644
Spotify Weekly Chart Chile ,0.024050000000000005,0.195,0.3922680412371135
Spotify Weekly Chart Finland ,0.02365,0.21000000000000002,0.3945544554455447
Spotify Weekly Chart Turkey ,0.023200000000000005,0.18000000000000002,0.41479591836734697
Spotify Weekly Chart Bolivia ,0.02250000000000001,0.17,0.39570000000000005
Spotify Weekly Chart Romania ,0.0222,0.16,0.4252747252747254
Spotify Weekly Chart France ,0.0214,0.18,0.3838532110091744
Spotify Weekly Chart Uruguay ,0.0212,0.16,0.4040816326530613
Spotify Weekly Chart Czech Republic ,0.02115,0.155,0.4127272727272728
Spotify Weekly Chart Bulgaria ,0.020600000000000004,0.13,0.40819277108433744
Spotify Weekly Chart India ,0.020350000000000004,0.155,0.4027450980392157
Spotify Weekly Chart Denmark ,0.0201,0.14500000000000002,0.39685714285714285
Spotify Weekly Chart Slovakia ,0.019700000000000002,0.15,0.3864150943396226
Spotify Weekly Chart Estonia ,0.019500000000000003,0.165,0.3790825688073394
Spotify Weekly Chart Hong Kong ,0.0194,0.155,0.3742000000000001
Spotify Weekly Chart Iceland ,0.01905,0.155,0.37229357798165136
Spotify Weekly Chart Germany ,0.018500000000000003,0.16,0.28202898550724637
Spotify Weekly Chart Belarus ,0.01805,0.16,0.33875000000000005
Spotify Weekly Chart Poland ,0.017600000000000005,0.14,0.37072727272727274
Spotify Weekly Chart Ireland ,0.017050000000000003,0.135,0.36212962962962975
Spotify Weekly Chart Portugal ,0.017050000000000003,0.155,0.3091538461538461
Spotify Weekly Chart Pakistan ,0.017049999999999996,0.135,0.3575
Spotify Weekly Chart Cyprus ,0.016749999999999998,0.12000000000000001,0.36896226415094346
Spotify Weekly Chart United States ,0.0167,0.13,0.356909090909091
Spotify Weekly Chart Australia ,0.01575,0.135,0.3363478260869565
Spotify Weekly Chart Norway ,0.015649999999999997,0.14,0.3349166666666667
Spotify Weekly Chart South Korea ,0.015550000000000001,0.14,0.32479674796747965
Spotify Weekly Chart Vietnam ,0.0148,0.11,0.3413888888888889
Spotify Weekly Chart Netherlands ,0.014550000000000002,0.13,0.31552000000000024
Spotify Weekly Chart Thailand ,0.014350000000000002,0.12,0.32237288135593223
Spotify Weekly Chart Russia ,0.014250000000000002,0.12,0.3198305084745764
Spotify Weekly Chart Taiwan ,0.013949999999999999,0.1,0.3294642857142858
Spotify Weekly Chart Brazil ,0.01365,0.12000000000000001,0.29916030534351146
Spotify Weekly Chart United Kingdom ,0.01335,0.11,0.2983898305084747
Spotify Weekly Chart Sweden ,0.01335,0.11499999999999999,0.2898484848484848
Spotify Weekly Chart Global ,0.0132,0.11499999999999999,0.2947692307692308
Spotify Weekly Chart Lithuania ,0.01295,0.10500000000000001,0.29638461538461525
Spotify Weekly Chart Latvia ,0.012850000000000002,0.10500000000000001,0.30400000000000016
Spotify Weekly Chart Switzerland ,0.01265,0.11499999999999999,0.26597122302158266
Spotify Weekly Chart Philippines ,0.012549999999999999,0.09,0.3065573770491804
Spotify Weekly Chart New Zealand ,0.0125,0.115,0.2767424242424241
Spotify Weekly Chart United Arab Emirates ,0.012450000000000001,0.095,0.30455284552845524
Spotify Weekly Chart Luxembourg ,0.0124,0.12,0.26328571428571423
Spotify Weekly Chart Canada ,0.012399999999999998,0.09,0.3056666666666668
Spotify Weekly Chart Singapore ,0.012350000000000005,0.095,0.2980800000000001
Spotify Weekly Chart Indonesia ,0.01225,0.1,0.2933600000000002
Spotify Weekly Chart Ukraine ,0.0114,0.1,0.2668656716417911
Spotify Weekly Chart Belgium ,0.011349999999999999,0.1,0.26617647058823524
Spotify Weekly Chart South Africa ,0.0107,0.1,0.24272727272727282
Spotify Weekly Chart Austria ,0.010150000000000003,0.095,0.23645833333333324
Spotify Weekly Chart Kazakhstan ,0.00965,0.08,0.23549295774647883
Spotify Weekly Chart Malta ,0.0095,0.065,0.23622377622377624
Spotify Weekly Chart Malaysia ,0.00865,0.075,0.20185430463576157
Spotify Weekly Chart Saudi Arabia ,0.008450000000000001,0.065,0.1940645161290324
